id,name,description,itemid,members,buylimit,highalch
123,Goblin mail,Armour designed to fit goblins.,288,False,15,24
124,Mithril seeds,Magical seeds in a mithril case.,299,True,0,120
125,Lobster pot,Useful for catching lobsters.,301,False,0,12
126,Small fishing net,Useful for catching small fish.,303,False,0,3
127,Big fishing net,Useful for catching lots of fish.,305,True,0,12
128,Fishing rod,Useful for catching sardine or herring.,307,False,0,3
129,Fly fishing rod,Useful for catching salmon or trout.,309,False,0,3
130,Harpoon,Useful for catching really big fish.,311,False,0,3
131,Fishing bait,For use with a fishing rod.,313,False,8000,2
132,Feather,Used for fly fishing.,314,False,13000,1
133,Shrimps,Some nicely cooked shrimp.,315,False,15000,3
134,Raw shrimps,I should try cooking this.,317,False,0,3
135,Anchovies,Some nicely cooked anchovies.,319,False,0,9
136,Raw anchovies,I should try cooking this.,321,False,0,9
137,Sardine,Some nicely cooked sardines.,325,False,0,6
138,Raw sardine,I should try cooking this.,327,False,0,6
139,Salmon,Some nicely cooked salmon.,329,False,0,30
140,Raw salmon,I should try cooking this.,331,False,0,30
141,Trout,Some nicely cooked trout.,333,False,0,12
142,Raw trout,I should try cooking this.,335,False,0,12
143,Cod,Some nicely cooked cod.,339,True,0,15
144,Raw cod,I should try cooking this.,341,True,0,15
145,Raw herring,I should try cooking this.,345,False,0,9
146,Herring,Some nicely cooked herring.,347,False,0,9
147,Raw pike,I should try cooking this.,349,False,0,15
148,Pike,Some nicely cooked pike.,351,False,0,15
149,Raw mackerel,I should try cooking this.,353,True,0,10
150,Mackerel,Some nicely cooked mackerel.,355,True,0,10
151,Raw tuna,I should try cooking this.,359,False,0,60
152,Tuna,"Wow, this is a big fish.",361,False,6000,60
153,Raw bass,I should try cooking this.,363,True,0,72
154,Bass,"Wow, this is a big fish.",365,True,0,72
155,Raw swordfish,I should try cooking this.,371,False,0,120
156,Swordfish,I'd better be careful eating this!,373,False,6000,120
157,Raw lobster,I should try cooking this.,377,False,0,90
158,Lobster,This looks tricky to eat.,379,False,6000,90
159,Raw shark,I should try cooking this.,383,True,15000,180
160,Shark,I'd better be careful eating this.,385,True,10000,180
161,Raw manta ray,A rare catch.,389,True,0,300
162,Manta ray,A rare catch.,391,True,0,300
163,Raw sea turtle,A rare catch.,395,True,0,300
164,Sea turtle,Tasty!,397,True,0,300
165,Seaweed,Slightly damp seaweed.,401,True,0,1
166,Edible seaweed,Slightly damp seaweed.,403,True,0,1
167,Casket,I hope there's treasure in it.,405,True,0,30
168,Oyster,Maybe there are pearls inside?,407,True,0,120
169,Oyster pearl,I could work wonders with a chisel on this pearl.,411,True,0,67
170,Oyster pearls,I could work wonders with a chisel on these pearls.,413,True,0,840
171,Priest gown,Top half of a priest suit.,426,False,0,3
172,Priest gown,Bottom half of a priest suit.,428,False,0,3
173,Clay,Some hard dry clay.,434,False,13000,1
174,Copper ore,This needs refining.,436,False,13000,2
175,Tin ore,This needs refining.,438,False,13000,2
176,Iron ore,This needs refining.,440,False,13000,10
177,Silver ore,This needs refining.,442,False,0,45
178,Gold ore,This needs refining.,444,False,13000,90
179,Mithril ore,This needs refining.,447,False,13000,97
180,Adamantite ore,This needs refining.,449,False,4500,240
181,Runite ore,This needs refining.,451,False,4500,1920
182,Coal,Hmm a non-renewable energy source!,453,False,13000,27
183,Strange fruit,I wonder what this tastes like?,464,True,0,1
184,Bones,Bones are for burying!,526,False,3000,1
185,Burnt bones,Bones are for burying!,528,False,0,1
186,Bat bones,Ew it's a pile of bones.,530,True,0,1
187,Big bones,Ew it's a pile of bones.,532,False,3000,1
188,Babydragon bones,Ew it's a pile of bones.,534,True,0,1
189,Dragon bones,These would feed a dog for months!,536,True,7500,1
190,Druid's robe,Keeps a druid's knees nice and warm.,538,True,0,18
191,Druid's robe top,I feel closer to the gods when I am wearing this.,540,True,0,24
192,Monk's robe,Keeps a monk's knees nice and warm.,542,False,125,18
193,Monk's robe top,I feel closer to the gods when I am wearing this.,544,False,125,24
194,Shade robe top,I feel closer to the gods when I am wearing this.,546,False,0,24
195,Shade robe,"If a shade had knees, this would keep them nice and warm.",548,False,0,18
196,Fire rune,One of the 4 basic elemental Runes.,554,False,20000,2
197,Water rune,One of the 4 basic elemental Runes.,555,False,20000,2
198,Air rune,One of the 4 basic elemental Runes.,556,False,20000,2
199,Earth rune,One of the 4 basic elemental Runes.,557,False,20000,2
200,Mind rune,Used for basic level missile spells.,558,False,12000,2
201,Body rune,Used for curse spells.,559,False,12000,2
202,Death rune,Used for medium level missile spells.,560,False,10000,108
203,Nature rune,Used for alchemy spells.,561,False,12000,108
204,Chaos rune,Used for low level missile spells.,562,False,12000,54
205,Law rune,Used for teleport spells.,563,False,12000,144
206,Cosmic rune,Used for enchant spells.,564,False,12000,30
207,Blood rune,Used for high level missile spells.,565,True,10000,240
208,Soul rune,Used for high level curse spells.,566,True,10000,180
209,Unpowered orb,I'd prefer it if it was powered.,567,True,10000,60
210,Fire orb,A magic glowing orb.,569,True,0,180
211,Water orb,A magic glowing orb.,571,True,0,180
212,Air orb,A magic glowing orb.,573,True,10000,180
213,Earth orb,A magic glowing orb.,575,True,0,180
214,Blue wizard robe,I can do magic better in this.,577,False,0,9
215,Blue wizard hat,A silly pointed hat.,579,False,0,1
216,Black robe,I can do magic better in this.,581,False,0,8
217,Tinderbox,Useful for lighting a fire.,590,False,0,1
218,Ashes,A heap of ashes.,592,False,0,1
219,Unlit torch,An unlit home-made torch.,596,True,0,2
220,Ship ticket,Allows you passage on the 'Lady of the waves' ship.,621,True,0,3
221,Pink boots,"They're soft, silky and pink.",626,True,0,120
222,Green boots,"They're soft, silky and green.",628,True,0,120
223,Blue boots,"They're soft, silky and blue.",630,True,0,120
224,Cream boots,"They're soft, silky and cream.",632,True,0,120
225,Turquoise boots,"They're soft, silky and turquoise.",634,True,0,120
226,Pink robe top,"The ultimate in gnome design, now in pink!",636,True,0,108
227,Green robe top,"The ultimate in gnome design, now in green!",638,True,0,108
228,Blue robe top,"The ultimate in gnome design, now in blue!",640,True,0,108
229,Cream robe top,"The ultimate in gnome design, now in cream!",642,True,0,108
230,Turquoise robe top,"The ultimate in gnome design, now in turquoise!",644,True,0,108
231,Pink robe bottoms,Made by Tree Gnomes with a thing for pink.,646,True,0,108
232,Green robe bottoms,Made by Tree Gnomes with a thing for green.,648,True,0,108
233,Blue robe bottoms,Made by Tree Gnomes with a thing for blue.,650,True,0,108
234,Cream robe bottoms,Made by Tree Gnomes with a thing for cream.,652,True,0,108
235,Turquoise robe bottoms,Made by Tree Gnomes with a thing for turquoise.,654,True,0,108
236,Pink hat,A silly pink pointed hat.,656,True,0,96
237,Green hat,A silly green pointed hat.,658,True,0,96
238,Blue hat,A silly blue pointed hat.,660,True,0,96
239,Cream hat,A silly cream pointed hat.,662,True,0,96
240,Turquoise hat,A silly turquoise pointed hat.,664,True,0,96
241,Gnomeball,A ball used in Gnomeball.,751,True,0,1
242,Cadava berries,Poisonous berries.,753,False,0,1
243,Bronze thrownaxe,A finely balanced throwing axe.,800,True,0,2
244,Iron thrownaxe,A finely balanced throwing axe.,801,True,0,4
245,Steel thrownaxe,A finely balanced throwing axe.,802,True,0,16
246,Mithril thrownaxe,A finely balanced throwing axe.,803,True,0,42
247,Adamant thrownaxe,A finely balanced throwing axe.,804,True,0,106
248,Rune thrownaxe,A finely balanced throwing axe.,805,True,0,264
249,Bronze dart,A deadly throwing dart with a bronze tip.,806,True,7000,1
250,Iron dart,A deadly throwing dart with an iron tip.,807,True,7000,1
251,Steel dart,A deadly throwing dart with a steel tip.,808,True,7000,6
252,Mithril dart,A deadly throwing dart with a mithril tip.,809,True,7000,15
253,Adamant dart,A deadly throwing dart with an adamant tip.,810,True,11000,39
254,Rune dart,A deadly throwing dart with a rune tip.,811,True,7000,210
255,Bronze dart(p),A deadly poisoned dart with a bronze tip.,812,True,0,1
256,Iron dart(p),A deadly poisoned dart with an iron tip.,813,True,0,1
257,Steel dart(p),A deadly poisoned dart with a steel tip.,814,True,0,6
258,Mithril dart(p),A deadly poisoned dart with a mithril tip.,815,True,0,15
259,Adamant dart(p),A deadly poisoned dart with an adamant tip.,816,True,0,39
260,Rune dart(p),A deadly poisoned dart with a rune tip.,817,True,0,210
261,Bronze dart tip,A deadly looking dart tip made of bronze - needs feathers for flight.,819,True,0,1
262,Iron dart tip,A deadly looking dart tip made of iron - needs feathers for flight.,820,True,0,2
263,Steel dart tip,A deadly-looking dart tip made of steel - needs feathers for flight.,821,True,0,3
264,Mithril dart tip,A deadly looking dart tip made of mithril - needs feathers for flight.,822,True,0,7
265,Adamant dart tip,A deadly-looking dart tip made of adamant - needs feathers for flight.,823,True,11000,22
266,Rune dart tip,A deadly-looking dart tip made of runite - needs feathers for flight.,824,True,0,105
267,Bronze javelin,A bronze tipped javelin.,825,True,0,2
268,Iron javelin,An iron tipped javelin.,826,True,0,4
269,Steel javelin,A steel tipped javelin.,827,True,0,14
270,Mithril javelin,A mithril tipped javelin.,828,True,0,38
271,Adamant javelin,An adamant tipped javelin.,829,True,11000,96
272,Rune javelin,A rune tipped javelin.,830,True,0,240
273,Bronze javelin(p),A bronze tipped javelin.,831,True,0,2
274,Iron javelin(p),An iron tipped javelin.,832,True,0,4
275,Steel javelin(p),A steel tipped javelin.,833,True,0,14
276,Mithril javelin(p),A mithril tipped javelin.,834,True,0,38
277,Adamant javelin(p),An adamant tipped javelin.,835,True,0,96
278,Rune javelin(p),A rune tipped javelin.,836,True,0,240
279,Crossbow,This fires crossbow bolts.,837,False,0,42
280,Longbow,A nice sturdy bow.,839,False,14000,48
281,Shortbow,Short but effective.,841,False,0,30
282,Oak shortbow,"A shortbow made out of oak, still effective.",843,False,0,60
283,Oak longbow,A nice sturdy bow made out of oak.,845,False,14000,96
284,Willow longbow,A nice sturdy bow made out of willow.,847,False,14000,192
285,Willow shortbow,"A shortbow made out of willow, still effective.",849,False,0,120
286,Maple longbow,A nice sturdy bow made out of Maple.,851,False,14000,384
287,Maple shortbow,"A shortbow made out of Maple, still effective.",853,False,0,240
288,Yew longbow,A nice sturdy bow made out of yew.,855,True,18000,768
289,Yew shortbow,"A shortbow made out of yew, still effective.",857,True,0,480
290,Magic longbow,A nice sturdy magical bow.,859,True,18000,1536
291,Magic shortbow,"Short and magical, but still effective.",861,True,0,960
292,Iron knife,A finely balanced throwing knife.,863,True,7000,2
293,Bronze knife,A finely balanced throwing knife.,864,True,0,1
294,Steel knife,A finely balanced throwing knife.,865,True,0,7
295,Mithril knife,A finely balanced throwing knife.,866,True,0,16
296,Adamant knife,A finely balanced throwing knife.,867,True,0,40
297,Rune knife,A finely balanced throwing knife.,868,True,0,100
298,Black knife,A finely balanced throwing knife.,869,True,0,11
299,Bronze knife(p),A finely balanced throwing knife.,870,True,0,1
300,Iron knife(p),A finely balanced throwing knife.,871,True,0,2
301,Steel knife(p),A finely balanced throwing knife.,872,True,0,6
302,Mithril knife(p),A finely balanced throwing knife.,873,True,0,16
303,Black knife(p),A finely balanced throwing knife.,874,True,0,11
304,Adamant knife(p),A finely balanced throwing knife.,875,True,0,40
305,Rune knife(p),A finely balanced throwing knife.,876,True,0,100
306,Bronze bolts,Bronze crossbow bolts.,877,False,0,0
307,Bronze bolts(p),Some poisoned bronze bolts.,878,True,0,0
308,Opal bolts,Opal tipped Bronze crossbow bolts.,879,True,0,4
309,Pearl bolts,Pearl tipped Iron crossbow bolts.,880,True,0,8
310,Barbed bolts,Great if you have a crossbow!,881,True,0,120
311,Bronze arrow,Arrows with bronze heads.,882,False,0,1
312,Bronze arrow(p),Venomous-looking arrows.,883,True,0,1
313,Iron arrow,Arrows with iron heads.,884,False,7000,2
314,Iron arrow(p),Venomous-looking arrows.,885,True,0,2
315,Steel arrow,Arrows with steel heads.,886,False,7000,7
316,Steel arrow(p),Venomous-looking arrows.,887,True,0,7
317,Mithril arrow,Arrows with mithril heads.,888,False,7000,19
318,Mithril arrow(p),Venomous-looking arrows.,889,True,0,19
319,Adamant arrow,Arrows with adamant heads.,890,False,11000,48
320,Adamant arrow(p),Venomous-looking arrows.,891,True,0,48
321,Rune arrow,Arrows with rune heads.,892,True,11000,240
322,Rune arrow(p),Venomous-looking arrows.,893,True,0,240
323,Knife,A dangerous looking knife.,946,False,0,4
324,Bear fur,This would make warm clothing.,948,False,0,6
325,Silk,It's a sheet of silk.,950,False,18000,18
326,Spade,A slightly muddy spade.,952,False,0,2
327,Rope,A coil of rope.,954,False,250,11
328,Grey wolf fur,This would make warm clothing.,958,True,0,30
329,Plank,A plank of wood!,960,False,13000,1
330,Christmas cracker,I need to pull this.,962,False,50,1
331,Papyrus,Used for making notes.,970,True,0,6
332,Charcoal,A lump of charcoal.,973,False,0,27
333,Machete,A jungle specific slashing device.,975,True,0,24
334,Disk of returning,Used to get out of Thordur's blackhole.,981,False,5,7
335,Brass key,Opens a door that leads into a dungeon (Edgeville Dungeon entrance).,983,False,0,1
336,Tooth half of key,The tooth end of the mysterious Crystal Key. Can you find the other half?,985,True,0,60
337,Loop half of key,The loop end of the mysterious Crystal Key. Can you find the other half?,987,True,11000,60
338,Crystal key,A mysterious key for a mysterious chest.,989,True,0,90
339,Muddy key,It looks like the key to a chest (Used to open the muddy chest in the lava maze).,991,False,0,48
340,Sinister key,You get a sense of dread from this key (Used to open the sinister chest in Yanille dungeon).,993,True,0,48
341,White apron,A mostly clean apron.,1005,False,0,1
342,Red cape,A bright red cape.,1007,False,0,1
343,Brass necklace,I'd prefer a gold one.,1009,False,0,18
344,Blue skirt,Leg covering favoured by women and wizards.,1011,False,0,1
345,Pink skirt,A ladies skirt.,1013,False,0,1
346,Black skirt,Clothing favoured by women and dark wizards.,1015,False,0,1
347,Wizard hat,A silly pointed hat.,1017,False,0,1
348,Black cape,A warm black cape.,1019,False,0,4
349,Blue cape,A thick blue cape.,1021,False,0,19
350,Yellow cape,A thick yellow cape.,1023,False,0,19
351,Eye patch,A black piece of cloth on a string.,1025,True,0,1
352,Green cape,A thick green cape.,1027,False,0,19
353,Purple cape,A thick purple cape.,1029,False,0,19
354,Orange cape,A thick orange cape.,1031,False,0,19
355,Zamorak robe,A robe worn by worshippers of Zamorak.,1033,True,15,18
356,Zamorak robe,A robe worn by worshippers of Zamorak.,1035,True,15,24
357,Red partyhat,A nice hat from a cracker.,1038,False,0,1
358,Yellow partyhat,A nice hat from a cracker.,1040,False,0,1
359,Blue partyhat,A nice hat from a cracker.,1042,False,0,1
360,Green partyhat,A nice hat from a cracker.,1044,False,0,1
361,Purple partyhat,A nice hat from a cracker.,1046,False,0,1
362,White partyhat,A nice hat from a cracker.,1048,False,0,1
363,Santa hat,It's a Santa hat.,1050,False,5,96
364,Green halloween mask,Aaaarrrghhh ... I'm a monster.,1053,False,0,9
365,Blue halloween mask,Aaaarrrghhh ... I'm a monster.,1055,False,0,9
366,Red halloween mask,Aaaarrrghhh ... I'm a monster.,1057,False,0,9
367,Leather gloves,These will keep my hands warm!,1059,False,125,4
368,Leather boots,Comfortable leather boots.,1061,False,0,4
369,Leather vambraces,Better than no armour!,1063,False,0,11
370,Green d'hide vamb,Vambraces made from 100% real dragonhide.,1065,False,125,1500
371,Iron platelegs,These look pretty heavy.,1067,False,0,168
372,Steel platelegs,These look pretty heavy.,1069,False,0,600
373,Mithril platelegs,These look pretty heavy.,1071,False,0,1560
374,Adamant platelegs,These look pretty heavy.,1073,False,125,3840
375,Bronze platelegs,These look pretty heavy.,1075,False,0,48
376,Black platelegs,"Big, black and heavy looking.",1077,False,0,1152
377,Rune platelegs,These look pretty heavy.,1079,False,0,38400
378,Iron plateskirt,Designer leg protection.,1081,False,0,168
379,Steel plateskirt,Designer leg protection.,1083,False,0,600
380,Mithril plateskirt,Designer leg protection.,1085,False,0,1560
381,Bronze plateskirt,Designer leg protection.,1087,False,0,48
382,Black plateskirt,"Big, black and heavy looking.",1089,False,0,1152
383,Adamant plateskirt,Designer leg protection.,1091,False,0,3840
384,Rune plateskirt,Designer leg protection.,1093,False,0,38400
385,Leather chaps,Better than no armour!,1095,False,125,12
386,Studded chaps,Those studs should provide a bit more protection.,1097,False,0,450
387,Green d'hide chaps,Made from 100% real dragonhide.,1099,False,125,2340
388,Iron chainbody,A series of connected metal rings.,1101,False,0,126
389,Bronze chainbody,A series of connected metal rings.,1103,False,0,36
390,Steel chainbody,A series of connected metal rings.,1105,False,0,450
391,Black chainbody,A series of connected metal rings.,1107,False,0,864
392,Mithril chainbody,A series of connected metal rings.,1109,False,0,1170
393,Adamant chainbody,A series of connected metal rings.,1111,False,0,2880
394,Rune chainbody,A series of connected metal rings.,1113,False,0,30000
395,Iron platebody,Provides excellent protection.,1115,False,125,336
396,Bronze platebody,Provides excellent protection.,1117,False,0,96
397,Steel platebody,Provides excellent protection.,1119,False,0,1200
398,Mithril platebody,Provides excellent protection.,1121,False,125,3120
399,Adamant platebody,Provides excellent protection.,1123,False,125,9984
400,Black platebody,Provides excellent protection.,1125,False,0,2304
401,Rune platebody,Provides excellent protection.,1127,False,0,39000
402,Leather body,Better than no armour!,1129,False,125,13
403,Hardleather body,Harder than normal leather.,1131,False,0,102
404,Studded body,Those studs should provide a bit more protection.,1133,False,0,510
405,Green d'hide body,Made from 100% real dragonhide.,1135,False,125,4680
406,Iron med helm,A medium sized helmet.,1137,False,0,50
407,Bronze med helm,A medium sized helmet.,1139,False,0,14
408,Steel med helm,A medium sized helmet.,1141,False,0,180
409,Mithril med helm,A medium sized helmet.,1143,False,0,468
410,Adamant med helm,A medium sized helmet.,1145,False,0,1152
411,Rune med helm,A medium sized helmet.,1147,False,0,11520
412,Dragon med helm,Makes the wearer pretty intimidating.,1149,True,0,60000
413,Black med helm,A medium sized helmet.,1151,False,0,346
414,Iron full helm,A full face helmet.,1153,False,0,92
415,Bronze full helm,A full face helmet.,1155,False,0,26
416,Steel full helm,A full face helmet.,1157,False,0,330
417,Mithril full helm,A full face helmet.,1159,False,0,858
418,Adamant full helm,A full face helmet.,1161,False,125,2112
419,Rune full helm,A full face helmet.,1163,False,0,21120
420,Black full helm,A full face helmet.,1165,False,0,634
421,Leather cowl,Better than no armour!,1167,False,0,14
422,Coif,Light weight head protection.,1169,False,125,120
423,Wooden shield,A solid wooden shield.,1171,False,0,12
424,Bronze sq shield,A medium square shield.,1173,False,0,29
425,Iron sq shield,A medium square shield.,1175,False,0,101
426,Steel sq shield,A medium square shield.,1177,False,0,360
427,Black sq shield,A medium square shield.,1179,False,0,691
428,Mithril sq shield,A medium square shield.,1181,False,0,936
429,Adamant sq shield,A medium square shield.,1183,False,0,2304
430,Rune sq shield,A medium square shield.,1185,False,0,23040
431,Dragon sq shield,An ancient and powerful looking Dragon Square shield.,1187,True,0,300000
432,Bronze kiteshield,A large metal shield.,1189,False,0,41
433,Iron kiteshield,A large metal shield.,1191,False,0,143
434,Steel kiteshield,A large metal shield.,1193,False,0,510
435,Black kiteshield,A large metal shield.,1195,False,0,979
436,Mithril kiteshield,A large metal shield.,1197,False,0,1326
437,Adamant kiteshield,A large metal shield.,1199,False,0,3264
438,Rune kiteshield,A large metal shield.,1201,False,0,32640
439,Iron dagger,Short but pointy.,1203,False,0,21
440,Bronze dagger,Short but pointy.,1205,False,0,6
441,Steel dagger,Short but pointy.,1207,False,0,75
442,Mithril dagger,A dangerous dagger.,1209,False,0,195
443,Adamant dagger,Short and deadly.,1211,False,0,480
444,Rune dagger,A powerful dagger.,1213,False,0,4800
445,Dragon dagger,A powerful dagger.,1215,True,70,18000
446,Black dagger,A vicious black dagger.,1217,False,0,144
447,Iron dagger(p),The blade is covered with poison.,1219,True,0,21
448,Bronze dagger(p),This dagger is poisoned.,1221,True,0,6
449,Steel dagger(p),The blade has been poisoned.,1223,True,0,75
450,Mithril dagger(p),A poisoned Mithril dagger.,1225,True,0,195
451,Adamant dagger(p),A very dangerous poisoned dagger.,1227,True,0,480
452,Rune dagger(p),The blade is covered with a nasty poison.,1229,True,0,4800
453,Dragon dagger(p),A powerful dagger.,1231,True,0,14400
454,Black dagger(p),This dagger is poisoned.,1233,True,0,144
455,Bronze spear,A bronze tipped spear.,1237,True,0,16
